seconds,volume,start_temp,internal_temp,external_temp
8,20,9,30,30.9
8,30,4,20,19.3
9,20,7,30,29.8
9,30,4,22,22.5
10,20,4,30,30.6
10,30,4,24,23.3
10,40,7,25,23.9
11,20,4,32,31.7
11,30,7,30,30.9
11,40,7,28,27.2
11,50,7,23,23.5
12,20,4,34,34.2
12,30,7,35,34.6
12,40,7,29,27.1
12,50,5,24,23.5
13,30,7,38,37.9
13,40,9,30,30.4
13,50,7,26,25.8
13,60,7,25,24.4
14,30,4,38,38.6
14,40,5,33,31.9
14,50,6,28,27.3
14,60,7,26,25.0
15,40,7,35,35.3
15,50,7,30,30.4
15,60,7,28,28.4
16,40,7,38,37.6
16,50,7,33,32.5
16,60,7,30,30.0
17,50,7,35,34.4
17,60,7,32,32.1
18,50,7,38,37.5
18,60,8,34,33.8
19,60,7,35,35.3
20,60,7,37,36.4
